id	Cluster	Type	From	To	Most similar known cluster	MIBiG BGC-ID	Similarity
AC550_RSS872	Region 61.1	terpene	"3,014"	"24,000"	xiamycin	Terpene + Alkaloid	20
AC550_RSS872	Region 77.1	NRPS	1	"10,476"	cysteoamide	NRP	18
AC550_RSS872	Region 79.1	terpene	"88,983"	"109,996"	pentalenolactone	Terpene	58
AC550_RSS872	Region 79.2	lassopeptide	"144,248"	"166,793"	citrulassin D	RiPP	100
AC550_RSS872	Region 80.1	lassopeptide	"33,001"	"55,439"			
AC550_RSS872	Region 80.2	NRPS	"151,315"	"202,451"	salinichelins	NRP	61
AC550_RSS872	Region 80.3	"NRPS,T1PKS"	"233,013"	"319,911"	foxicins A-D	NRP + Polyketide	12
AC550_RSS872	Region 82.1	T1PKS	"26,557"	"78,588"	oligomycin	Polyketide	61
AC550_RSS872	Region 90.1	bacteriocin	"11,723"	"23,060"			
AC550_RSS872	Region 90.2	"butyrolactone,terpene"	"99,337"	"124,650"	γ-butyrolactone	Other	100
AC550_RSS872	Region 91.1	T1PKS	"4,471"	"49,010"			
AC550_RSS872	Region 91.2	T1PKS	"258,389"	"295,522"	herbimycin A	Polyketide	23
AC550_RSS872	Region 92.1	terpene	"10,296"	"31,369"			
AC550_RSS872	Region 92.2	NRPS	"57,247"	"129,157"	friulimicin A / friulimicin B / friulimicin C / friulimicin D	NRP	30
AC550_RSS872	Region 93.1	siderophore	1	"8,564"			
AC550_RSS872	Region 94.1	NRPS	"105,964"	"188,600"	JBIR-78 / JBIR-95	NRP	77
AC550_RSS872	Region 107.1	NRPS-like	1	"27,267"			
AC550_RSS872	Region 107.2	terpene	"79,227"	"100,252"	"UK-68,597"	NRP:Glycopeptide	8
AC550_RSS872	Region 108.1	"transAT-PKS,NRPS,T1PKS"	1	"83,479"	phthoxazolin	NRP + Polyketide	9
AC550_RSS872	Region 117.1	T1PKS	"6,846"	"54,330"	mycotrienin I	NRP + Polyketide	7
AC550_RSS872	Region 117.2	NRPS	"133,257"	"157,506"	cadaside A / cadaside B	NRP	19
AC550_RSS872	Region 121.1	terpene	"2,519"	"23,604"	albaflavenone	Terpene	100
AC550_RSS872	Region 121.2	T1PKS	"160,079"	"235,364"	oligomycin	Polyketide	66
AC550_RSS872	Region 122.1	"NRPS,bacteriocin,LAP"	1	"54,556"	"(2S,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid"	NRP	30
AC602_WCS936	Region 3.1	siderophore	"62,969"	"76,137"	enduracidin	NRP	6
AC602_WCS936	Region 7.1	"T2PKS,NRPS"	1	"63,712"	kosinostatin	NRP + Polyketide	27
AC602_WCS936	Region 11.1	bacteriocin	"109,170"	"120,504"			
AC602_WCS936	Region 12.1	phenazine	"35,449"	"55,940"	endophenazine A / endophenazine B	Other:Phenazine	44
AC602_WCS936	Region 13.1	"ectoine,furan,butyrolactone"	1	"35,337"	ectoine	Other	75
AC602_WCS936	Region 16.1	siderophore	"57,699"	"69,636"			
AC602_WCS936	Region 18.1	NRPS	1	"2,700"			
AC602_WCS936	Region 19.1	terpene	"69,017"	"89,967"	albaflavenone	Terpene	100
AC602_WCS936	Region 20.1	"butyrolactone,betalactone"	"202,809"	"231,367"	A-201A	Other	6
AC602_WCS936	Region 26.1	"NRPS,ectoine"	1	"39,537"	kosinostatin	NRP + Polyketide	21
AC602_WCS936	Region 28.1	"NRPS,lanthipeptide"	1	"46,207"			
AC602_WCS936	Region 29.1	terpene	"13,777"	"35,957"	geosmin	Terpene	100
AC602_WCS936	Region 32.1	"PKS-like,NRPS"	1	"30,048"	virginiamycin S1	NRP + Polyketide	38
AC602_WCS936	Region 33.1	melanin	"76,388"	"86,822"	melanin	Other	40
AC602_WCS936	Region 41.1	"hglE-KS,T1PKS"	1	"17,564"			
AC602_WCS936	Region 47.1	NRPS	1	"4,812"			
AC602_WCS936	Region 50.1	ectoine	"2,449"	"12,841"			
AC602_WCS936	Region 51.1	"NRPS,T3PKS"	"311,021"	"387,488"	herboxidiene	Polyketide	8
AC602_WCS936	Region 54.1	terpene	"13,067"	"34,311"	2-methylisoborneol	Terpene	100
AC602_WCS936	Region 56.1	hglE-KS	1	"10,834"	nataxazole	Polyketide	7
AC602_WCS936	Region 63.1	lanthipeptide	"25,625"	"48,276"	SapB	RiPP:Lanthipeptide	100
AC602_WCS936	Region 63.2	NRPS	"182,296"	"233,239"	coelichelin	NRP	100
AC602_WCS936	Region 63.3	NRPS-like	"278,409"	"320,901"	stenothricin	NRP:Cyclic depsipeptide	13
AC602_WCS936	Region 63.4	bacteriocin	"499,967"	"510,182"	informatipeptin	RiPP:Lanthipeptide	42
AC602_WCS936	Region 63.5	terpene	"526,874"	"547,905"	versipelostatin	Polyketide	5
AC602_WCS936	Region 78.1	melanin	"54,646"	"65,089"	melanin	Other	60
AC602_WCS936	Region 85.1	terpene	"159,013"	"185,746"	hopene	Terpene	100
AC602_WCS936	Region 85.2	"NRPS,phosphonate"	"498,974"	"558,456"	kanamycin	Saccharide	61
AC602_WCS936	Region 89.1	ectoine	"62,643"	"73,041"	ectoine	Other	100
AC602_WCS936	Region 91.1	siderophore	"35,282"	"47,054"	desferrioxamin B / desferrioxamine E	Other	83
AC602_WCS936	Region 92.1	T2PKS	"66,269"	"107,687"	spore pigment	Polyketide	66
AC602_WCS936	Region 94.1	terpene	"41,215"	"76,287"	isorenieratene	Terpene	63
AC602_WCS936	Region 94.2	indole	"137,619"	"158,740"	5-isoprenylindole-3-carboxylate β-D-glycosyl ester	Other	23
AC558_RSS880	Region 2.1	butyrolactone	"219,250"	"230,209"	SCB1 / SCB2 / SCB3	Other:Butyrolactone	100
AC558_RSS880	Region 5.1	"hglE-KS,T1PKS"	"95,128"	"126,528"			
AC558_RSS880	Region 6.1	siderophore	"113,410"	"125,182"	desferrioxamin B / desferrioxamine E	Other	83
AC558_RSS880	Region 6.2	melanin	"209,420"	"219,920"	melanin	Other	100
AC558_RSS880	Region 13.1	NRPS	1	"7,451"	atratumycin	NRP	13
AC558_RSS880	Region 15.1	siderophore	"55,578"	"67,386"	ficellomycin	NRP	3
AC558_RSS880	Region 18.1	NRPS	1	"30,118"	kosinostatin	NRP + Polyketide	3
AC558_RSS880	Region 18.2	siderophore	"33,759"	"46,865"			
AC558_RSS880	Region 27.1	indole	"110,573"	"131,748"	7-prenylisatin	Other	60
AC558_RSS880	Region 27.2	bacteriocin	"387,706"	"399,016"			
AC558_RSS880	Region 28.1	terpene	"311,849"	"333,000"	albaflavenone	Terpene	100
AC558_RSS880	Region 54.1	"arylpolyene,ladderane,NRPS,NRPS-like"	1	"59,414"	RP-1776	Polyketide + NRP:Cyclic depsipeptide	36
AC558_RSS880	Region 54.2	betalactone	"103,338"	"127,133"	divergolide A / divergolide B / divergolide C / divergolide D	Polyketide:Modular type I	6
AC558_RSS880	Region 61.1	"NRPS-like,T1PKS"	1	"34,844"	tylactone	Polyketide	6
AC558_RSS880	Region 62.1	"NRPS,T2PKS"	"97,560"	"218,194"	spore pigment	Polyketide	83
AC558_RSS880	Region 68.1	T1PKS	"104,168"	"135,828"	salinomycin	Polyketide:Modular type I	16
AC558_RSS880	Region 70.1	"NRPS,T1PKS"	"55,408"	"112,571"	antimycin	NRP + Polyketide	100
AC558_RSS880	Region 70.2	"T1PKS,NRPS"	"323,506"	"375,271"	oxalomycin B	NRP + Polyketide	9
AC558_RSS880	Region 70.3	terpene	"410,564"	"435,855"	carotenoid	Terpene	63
AC558_RSS880	Region 71.1	"hglE-KS,T3PKS,terpene"	1	"58,141"	alkylresorcinol	Polyketide	100
AC558_RSS880	Region 84.1	lanthipeptide	"8,219"	"30,837"	SapB	RiPP:Lanthipeptide	100
AC558_RSS880	Region 87.1	T1PKS	"22,639"	"89,710"	lorneic acid A	Polyketide	23
AC558_RSS880	Region 100.1	NRPS	1	"10,627"	cadaside A / cadaside B	NRP	14
AC558_RSS880	Region 101.1	bacteriocin	"296,069"	"306,284"	informatipeptin	RiPP:Lanthipeptide	42
AC558_RSS880	Region 101.2	terpene	"320,298"	"341,329"			
AC558_RSS880	Region 102.1	terpene	"30,858"	"53,017"	geosmin	Terpene	100
AC558_RSS880	Region 103.1	NRPS	"30,809"	"99,717"	isocomplestatin	NRP	31
AC558_RSS880	Region 106.1	terpene	1	"10,061"	hopene	Terpene	61
AC558_RSS880	Region 107.1	T1PKS	1	"5,222"			
AC558_RSS880	Region 109.1	NRPS	1	"53,799"	CDA1b / CDA2a / CDA2b / CDA3a / CDA3b / CDA4a / CDA4b	NRP:Ca+-dependent lipopeptide	20
AC558_RSS880	Region 112.1	T1PKS	1	"23,977"			
AC558_RSS880	Region 112.2	lassopeptide	"39,304"	"61,889"	citrulassin D	RiPP	100
AC558_RSS880	Region 113.1	ectoine	"72,038"	"82,436"	ectoine	Other	100
AC558_RSS880	Region 114.1	T1PKS	1	"13,358"	"10,11-dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin"	Polyketide	19
AC558_RSS880	Region 118.1	T1PKS	1	"22,579"	salinomycin	Polyketide:Modular type I	18
AC558_RSS880	Region 126.1	"T1PKS,NRPS"	1	"76,298"	coelichelin	NRP	100
AC558_RSS880	Region 128.1	NRPS	1	"7,820"			
AC558_RSS880	Region 130.1	T1PKS	1	"15,142"	linfuranone B / linfuranone C	Polyketide	38
AC558_RSS880	Region 134.1	T1PKS	1	"12,559"	pentamycin	Polyketide	33
AC558_RSS880	Region 138.1	T1PKS	1	"21,235"	ebelactone A / ebelactone B	Polyketide	40
AC564_RSS886	Region 4.1	NRPS	"57,989"	"102,194"	atratumycin	NRP	7
AC564_RSS886	Region 11.1	"terpene,CDPS"	"29,821"	"51,454"			
AC564_RSS886	Region 14.1	"T1PKS,transAT-PKS,PKS-like"	"8,623"	"106,100"	psymberin / irciniastatin B	NRP + Polyketide:Trans-AT type I	31
AC564_RSS886	Region 17.1	bacteriocin	"21,580"	"28,336"			
AC564_RSS886	Region 26.1	butyrolactone	"14,697"	"25,083"			
AC564_RSS886	Region 27.1	terpene	"47,855"	"74,621"	hopene	Terpene	61
AC564_RSS886	Region 29.1	T3PKS	"12,122"	"53,210"	s56-p1	NRP	11
AC564_RSS886	Region 29.2	NRPS	"122,873"	"169,527"	diisonitrile antibiotic SF2768	NRP	66
AC564_RSS886	Region 30.1	NRPS	1	"32,079"			
AC564_RSS886	Region 30.2	terpene	"210,230"	"231,294"			
AC564_RSS886	Region 31.1	CDPS	1	"16,264"	naseseazine C / C3-aryl pyrroloindolines	Other	66
AC564_RSS886	Region 31.2	"NRPS,T1PKS"	"93,470"	"299,396"	nigericin	Polyketide:Modular type I	100
AC564_RSS886	Region 31.3	terpene	"378,982"	"397,394"	isorenieratene	Terpene	18
AC564_RSS886	Region 31.4	"terpene,T1PKS,NRPS"	"433,264"	"538,283"	isorenieratene	Terpene	85
AC564_RSS886	Region 44.1	NRPS-like	"25,309"	"68,362"	echoside A / echoside B / echoside C / echoside D / echoside E	NRP	76
AC564_RSS886	Region 49.1	betalactone	"11,946"	"45,188"	belactosin A / belactosin C	Other	8
AC564_RSS886	Region 49.2	NRPS	"76,344"	"119,679"	stenothricin	NRP:Cyclic depsipeptide	13
AC564_RSS886	Region 53.1	NRPS	"74,183"	"165,561"	cysteoamide	NRP	18
AC564_RSS886	Region 53.2	LAP	"229,915"	"253,332"			
AC564_RSS886	Region 53.3	lassopeptide	"277,871"	"300,424"			
AC564_RSS886	Region 53.4	T3PKS	"353,292"	"394,422"	flaviolin	Other	75
AC564_RSS886	Region 54.1	siderophore	"45,424"	"53,072"	ficellomycin	NRP	3
AC564_RSS886	Region 61.1	ladderane	"31,842"	"67,748"	marinacarboline A / marinacarboline B / marinacarboline C / marinacarboline D	Alkaloid	30
AC564_RSS886	Region 63.1	siderophore	1	"7,448"			
AC564_RSS886	Region 66.1	"CDPS,other"	"10,300"	"46,365"	sporolide A / sporolide B	NRP + Polyketide:Enediyne type I	4
AC564_RSS886	Region 70.1	NRPS	"65,227"	"112,251"	streptobactin	NRP	41
AC564_RSS886	Region 73.1	terpene	"1,134"	"23,374"	geosmin	Terpene	100
AC564_RSS886	Region 75.1	ectoine	"68,675"	"79,079"	ectoine	Other	100
AC564_RSS886	Region 83.1	arylpolyene	"55,421"	"96,638"	kedarcidin	Polyketide:Iterative type I + Polyketide:Enediyne type I	7
AC564_RSS886	Region 87.1	siderophore	"155,884"	"169,765"			
AC564_RSS886	Region 102.1	bacteriocin	1	"3,281"			
AC564_RSS886	Region 105.1	"T1PKS,NRPS"	"59,644"	"205,394"	niphimycins C-E	Polyketide	41
AC564_RSS886	Region 108.1	T1PKS	"2,857"	"86,322"	piericidin A1	Polyketide	100
AC564_RSS886	Region 109.1	T1PKS	1	"4,167"			
AC564_RSS886	Region 110.1	T1PKS	1	"95,579"	niphimycins C-E	Polyketide	29
AC564_RSS886	Region 111.1	terpene	"24,534"	"45,733"	merochlorin A / merochlorin B / deschloro-merochlorin A / deschloro-merochlorin B / isochloro-merochlorin B / dichloro-merochlorin B / merochlorin D / merochlorin C	Terpene + Polyketide:Type III	7
AC564_RSS886	Region 113.1	terpene	1	"11,178"	xiamycin A	Terpene	13
AC563_RSS885	Region 1.1	"T1PKS,NRPS"	1	"57,022"	concanamycin A	Polyketide	28
AC563_RSS885	Region 1.2	CDPS	"133,758"	"150,021"	naseseazine C / C3-aryl pyrroloindolines	Other	66
AC563_RSS885	Region 4.1	"terpene,CDPS"	"29,755"	"51,388"			
AC563_RSS885	Region 7.1	terpene	"17,984"	"39,183"	merochlorin A / merochlorin B / deschloro-merochlorin A / deschloro-merochlorin B / isochloro-merochlorin B / dichloro-merochlorin B / merochlorin D / merochlorin C	Terpene + Polyketide:Type III	7
AC563_RSS885	Region 9.1	NRPS	"74,362"	"121,016"	diisonitrile antibiotic SF2768	NRP	66
AC563_RSS885	Region 13.1	NRPS	"57,989"	"102,194"	atratumycin	NRP	7
AC563_RSS885	Region 14.1	"other,CDPS"	"23,094"	"65,795"	BD-12	NRP	14
AC563_RSS885	Region 24.1	NRPS	"3,451"	"94,829"	cysteoamide	NRP	18
AC563_RSS885	Region 30.1	NRPS-like	"25,381"	"68,434"	echoside A / echoside B / echoside C / echoside D / echoside E	NRP	76
AC563_RSS885	Region 31.1	terpene	"47,867"	"74,633"	hopene	Terpene	61
AC563_RSS885	Region 36.1	siderophore	1	"7,827"	ficellomycin	NRP	3
AC563_RSS885	Region 39.1	LAP	"60,896"	"84,313"			
AC563_RSS885	Region 39.2	lassopeptide	"108,846"	"131,399"			
AC563_RSS885	Region 41.1	arylpolyene	"114,499"	"145,746"	kedarcidin	Polyketide:Iterative type I + Polyketide:Enediyne type I	6
AC563_RSS885	Region 48.1	terpene	"55,665"	"76,729"			
AC563_RSS885	Region 55.1	siderophore	"22,786"	"30,213"			
AC563_RSS885	Region 62.1	"NRPS,T1PKS"	"33,941"	"179,777"	niphimycins C-E	Polyketide	41
AC563_RSS885	Region 68.1	ladderane	1	"20,880"			
AC563_RSS885	Region 72.1	ectoine	"214,058"	"224,462"	ectoine	Other	100
AC563_RSS885	Region 74.1	T3PKS	"3,621"	"44,751"	flaviolin	Other	75
AC563_RSS885	Region 80.1	T3PKS	"12,397"	"48,845"	s56-p1	NRP	11
AC563_RSS885	Region 82.1	butyrolactone	"14,606"	"24,992"			
AC563_RSS885	Region 88.1	terpene	"1,163"	"23,430"	geosmin	Terpene	100
AC563_RSS885	Region 106.1	siderophore	"6,701"	"20,582"			
AC563_RSS885	Region 107.1	terpene	1	"10,895"	xiamycin A	Terpene	13
AC563_RSS885	Region 111.1	T1PKS	"2,193"	"98,877"	methymycin	Polyketide:Modular type I + Saccharide:Hybrid/tailoring	57
AC563_RSS885	Region 115.1	T1PKS	1	"153,829"	nigericin	Polyketide:Modular type I	94
AC563_RSS885	Region 115.2	terpene	"233,415"	"251,827"	isorenieratene	Terpene	27
AC563_RSS885	Region 115.3	"terpene,T1PKS,NRPS"	"287,697"	"392,716"	isorenieratene	Terpene	85
AC563_RSS885	Region 116.1	NRPS	"15,753"	"57,114"	stenothricin	NRP:Cyclic depsipeptide	13
AC563_RSS885	Region 116.2	betalactone	"89,486"	"122,728"	belactosin A / belactosin C	Other	8
AC563_RSS885	Region 116.3	NRPS	"229,528"	"276,552"	streptobactin	NRP	41
AC563_RSS885	Region 118.1	NRPS	"104,724"	"136,802"			
AC563_RSS885	Region 123.1	bacteriocin	1	"7,375"			
AC563_RSS885	Region 125.1	T1PKS	"139,158"	"217,428"	piericidin A1	Polyketide	100
AC563_RSS885	Region 127.1	"transAT-PKS,PKS-like"	"13,651"	"106,221"	thailandamide / thailandamide lactone	NRP + Polyketide:Modular type I	26
AC563_RSS885	Region 128.1	bacteriocin	"20,015"	"26,789"			
AC563_RSS885	Region 130.1	T1PKS	1	"5,008"			
AC555_RSS877	Region 14.1	ectoine	"210,640"	"221,044"	ectoine	Other	100
AC555_RSS877	Region 15.1	T2PKS	"91,553"	"159,011"	collinomycin	Polyketide	96
AC555_RSS877	Region 17.1	butyrolactone	"3,122"	"14,081"			
AC555_RSS877	Region 17.2	bacteriocin	"182,436"	"193,743"			
AC555_RSS877	Region 19.1	"NRPS,T1PKS"	"11,772"	"48,547"	foxicins A-D	NRP + Polyketide	4
AC555_RSS877	Region 23.1	terpene	"47,247"	"73,891"	hopene	Terpene	92
AC555_RSS877	Region 24.1	terpene	"81,872"	"104,028"	geosmin	Terpene	100
AC555_RSS877	Region 31.1	siderophore	"38,980"	"50,884"			
AC555_RSS877	Region 36.1	T2PKS	"14,884"	"65,514"	spore pigment	Polyketide	83
AC555_RSS877	Region 39.1	terpene	"80,872"	"101,903"	cyphomycin	Polyketide	2
AC555_RSS877	Region 39.2	"bacteriocin,lanthipeptide"	"124,053"	"151,254"	informatipeptin	RiPP:Lanthipeptide	100
AC555_RSS877	Region 39.3	siderophore	"160,666"	"174,305"			
AC555_RSS877	Region 39.4	T1PKS	"268,758"	"312,843"	chlorothricin / deschlorothricin	Polyketide:Modular type I + Polyketide:Iterative type I + Saccharide:Oligosaccharide	4
AC555_RSS877	Region 46.1	butyrolactone	1	"10,922"	lactonamycin	Polyketide	3
AC555_RSS877	Region 48.1	T3PKS	"1,692"	"42,780"	alkylresorcinol	Polyketide	100
AC555_RSS877	Region 52.1	NRPS-like	"124,242"	"168,114"			
AC555_RSS877	Region 53.1	siderophore	"21,325"	"34,446"	grincamycin	Polyketide:Type II + Saccharide:Hybrid/tailoring	8
AC555_RSS877	Region 53.2	NRPS	"109,203"	"160,188"	coelichelin	NRP	100
AC555_RSS877	Region 56.1	"NRPS,T3PKS"	1	"39,297"	feglymycin	NRP	31
AC555_RSS877	Region 57.1	terpene	"186,391"	"207,314"	albaflavenone	Terpene	100
AC555_RSS877	Region 65.1	NRPS	"25,455"	"48,628"	streptovaricin	Polyketide	17
AC555_RSS877	Region 71.1	"siderophore,NRPS-like"	"20,743"	"71,238"	desferrioxamin B / desferrioxamine E	Other	100
AC555_RSS877	Region 71.2	melanin	"151,076"	"161,459"	melanin	Other	60
AC555_RSS877	Region 71.3	amglyccycl	"213,249"	"229,508"	cetoniacytone A	Other:Cyclitol	9
AC555_RSS877	Region 80.1	"PKS-like,NRPS-like,butyrolactone"	"27,339"	"94,016"	pyridomycin	NRP + Polyketide	26
AC555_RSS877	Region 104.1	"T1PKS,NRPS-like"	1	"24,828"	lagunapyrone A / lagunapyrone B / lagunapyrone C	Polyketide	22
AC555_RSS877	Region 112.1	NRPS	1	"3,109"			
AC555_RSS877	Region 114.1	NRPS	1	"2,580"			
AC555_RSS877	Region 123.1	NRPS	1	"29,667"			
AC555_RSS877	Region 124.1	NRPS-like	1	"2,249"			
AC555_RSS877	Region 125.1	NRPS	1	"3,694"	taromycin A	NRP:Ca+-dependent lipopeptide	10
AC555_RSS877	Region 128.1	NRPS-like	1	"32,358"	conglobatin	NRP	10
AC555_RSS877	Region 130.1	NRPS-like	"71,331"	"114,615"	glycinocin A	NRP	4
AC555_RSS877	Region 135.1	terpene	897	"22,768"			
AC555_RSS877	Region 137.1	NRPS	1	"1,427"	telomycin	NRP	8
AC555_RSS877	Region 141.1	terpene	"127,941"	"149,017"			
AC627_RSS907	Region 5.1	terpene	1	"20,102"	carotenoid	Terpene	54
AC627_RSS907	Region 5.2	indole	"58,674"	"79,801"	5-isoprenylindole-3-carboxylate β-D-glycosyl ester	Other	28
AC627_RSS907	Region 6.1	T2PKS	1	"40,258"	fluostatins M-Q	Polyketide	44
AC627_RSS907	Region 34.1	siderophore	"16,566"	"28,395"			
AC627_RSS907	Region 37.1	siderophore	"42,849"	"55,998"			
AC627_RSS907	Region 38.1	terpene	1	"3,896"	hopene	Terpene	30
AC627_RSS907	Region 41.1	T2PKS	1	"50,403"	spore pigment	Polyketide	66
AC627_RSS907	Region 41.2	terpene	"85,026"	"99,764"	albaflavenone	Terpene	100
AC627_RSS907	Region 45.1	lanthipeptide	"85,536"	"108,229"			
AC627_RSS907	Region 48.1	terpene	1	"15,380"	hopene	Terpene	46
AC627_RSS907	Region 49.1	T1PKS	1	"30,745"	bafilomycin B1	Polyketide:Modular type I	77
AC627_RSS907	Region 53.1	"T2PKS,butyrolactone"	1	"18,282"	lactonamycin	Polyketide	14
AC627_RSS907	Region 54.1	T1PKS	1	"6,382"	mediomiycin A	Polyketide	36
AC627_RSS907	Region 59.1	melanin	"34,943"	"45,452"	melanin	Other	40
AC627_RSS907	Region 64.1	"LAP,thiopeptide"	1	"29,409"	diazepinomicin	Terpene	7
AC627_RSS907	Region 67.1	NRPS	1	"22,662"			
AC627_RSS907	Region 70.1	NRPS	1	"37,508"	rimosamide	NRP	21
AC627_RSS907	Region 72.1	"transAT-PKS,NRPS,T1PKS"	1	"142,687"	kirromycin	NRP + Polyketide:Modular type I + Polyketide:Trans-AT type I	40
AC627_RSS907	Region 79.1	"terpene,CDPS"	"22,823"	"36,097"			
AC627_RSS907	Region 82.1	NRPS	1	"31,828"	coelichelin	NRP	100
AC627_RSS907	Region 88.1	bacteriocin	"23,812"	"34,027"			
AC627_RSS907	Region 89.1	T3PKS	"123,675"	"160,237"	herboxidiene	Polyketide	8
AC627_RSS907	Region 91.1	NRPS	1	"8,961"			
AC627_RSS907	Region 93.1	CDPS	1	"18,916"	mycotrienin I	NRP + Polyketide	7
AC627_RSS907	Region 94.1	furan	"30,948"	"51,961"	methylenomycin A	Other	9
AC627_RSS907	Region 102.1	siderophore	"43,269"	"55,038"	desferrioxamin B / desferrioxamine E	Other	83
AC627_RSS907	Region 114.1	terpene	"9,527"	"30,408"			
AC627_RSS907	Region 120.1	ectoine	"35,376"	"45,774"	ectoine	Other	100
AC627_RSS907	Region 128.1	T1PKS	1	"6,442"			
AC627_RSS907	Region 130.1	NRPS-like	"82,243"	"124,090"	collismycin A	NRP + Polyketide:Modular type I	7
AC627_RSS907	Region 139.1	terpene	1	"14,104"	geosmin	Terpene	100
AC627_RSS907	Region 143.1	T1PKS	1	"14,970"	mediomycin A	Polyketide	28
AC627_RSS907	Region 150.1	bacteriocin	1	"4,652"			
AC627_RSS907	Region 153.1	T1PKS	1	"18,207"	heronamide A / heronamide B / heronamide C / heronamide D / heronamide E / heronamide F	NRP + Polyketide	29
AC627_RSS907	Region 164.1	T1PKS	1	"8,851"			
AC627_RSS907	Region 167.1	T1PKS	1	"28,112"	funisamine	Polyketide	47
AC627_RSS907	Region 167.2	"lanthipeptide,hglE-KS"	"72,917"	"126,612"	SapB	RiPP:Lanthipeptide	100
AC627_RSS907	Region 171.1	NRPS	"44,496"	"114,119"	netropsin	NRP	100
AC627_RSS907	Region 171.2	"NRPS,T1PKS"	"136,469"	"228,262"	surugamide A / surugamide D	NRP	9
AC627_RSS907	Region 174.1	T1PKS	1	"4,774"	heronamide A / heronamide B / heronamide C / heronamide D / heronamide E / heronamide F	NRP + Polyketide	29
AC627_RSS907	Region 175.1	T1PKS	1	"10,100"			
AC627_RSS907	Region 191.1	T1PKS	1	"7,932"	tautomycin	Polyketide:Modular type I	10
AC627_RSS907	Region 200.1	arylpolyene	1	"1,361"	colabomycin E	Polyketide:Type II	4
AC627_RSS907	Region 203.1	T1PKS	1	"5,701"	ibomycin	Polyketide	15
AC627_RSS907	Region 211.1	T1PKS	1	"14,339"	pentamycin	Polyketide	26
AC512_CC834	Region 5.1	"T2PKS,PKS-like,betalactone,T1PKS,other"	1	"72,498"	LL-D49194α1 (LLD)	Polyketide	47
AC512_CC834	Region 7.1	"LAP,thiopeptide"	"8,683"	"33,392"			
AC512_CC834	Region 11.1	siderophore	"38,402"	"50,198"	desferrioxamin B / desferrioxamine E	Other	83
AC512_CC834	Region 12.1	ectoine	"78,981"	"89,379"	ectoine	Other	100
AC512_CC834	Region 25.1	"furan,butyrolactone"	"8,548"	"38,402"	methylenomycin A	Other	90
AC512_CC834	Region 26.1	NRPS-like	1	"27,129"	paulomycin	Other	11
AC512_CC834	Region 29.1	siderophore	1	"7,046"			
AC512_CC834	Region 31.1	"ladderane,NRPS"	1	"31,624"	ishigamide	NRP + Polyketide	83
AC512_CC834	Region 33.1	butyrolactone	"83,075"	"93,836"	"3,7-dihydroxytropolone"	Other	77
AC512_CC834	Region 33.2	terpene	"121,407"	"147,049"	isorenieratene	Terpene	100
AC512_CC834	Region 33.3	"T1PKS,T3PKS"	"150,849"	"226,466"	pyrrolomycin A / pyrrolomycin B / pyrrolomycin C / pyrrolomycin D	Polyketide	31
AC512_CC834	Region 38.1	NRPS	"52,319"	"99,156"	ishigamide	NRP + Polyketide	33
AC512_CC834	Region 40.1	siderophore	"12,371"	"25,632"	enduracidin	NRP	4
AC512_CC834	Region 48.1	T1PKS	1	"40,062"	nocamycin	NRP + Polyketide	18
